x,y,p,c
4.7,1,1,1
6.5,1,1,1
1.70377358490566,1,1,1
2.46981132075472,1,1,1
1,0,1,1
3.1,1,1,1
1.15,0,1,1
1.98,1,1,1
1,0,1,1
1.507,1,1,1
1,0,1,1
1.60363636363637,1,1,1
1,1,1,1
0.600000000000001,0,1,1
1.15,1,1,1
0.5,0,1,1
1.35,1,1,1
1.36836734693877,0,1,1
0.600000000000001,0,1,1
1.17636363636364,1,1,1
1.4,1,1,1
1.33584905660377,1,1,1
1.41037735849056,1,1,1
0.600000000000001,0,1,1
1.3,1,1,1
1.32314814814815,0,1,1
1.3,1,1,1
1.34117647058823,1,1,1
5.9,1,1,2
3.6,0,1,2
7.64905660377359,1,1,2
2.9,0,1,2
4.9,1,1,2
6.6,1,1,2
4.2,0,1,2
5.4,1,1,2
4,1,1,2
2.4,0,1,2
2.8,0,1,2
6.12211538461539,1,1,2
4.3,1,1,2
2.9,0,1,2
4.9,1,1,2
3.8,0,1,2
4.6,1,1,2
3.9,1,1,2
3.3,0,1,2
4.5,1,1,2
3.6,0,1,2
4.3,1,1,2
4.2,1,1,2
3.6,1,1,2
3.3,0,1,2
4.2,0,1,2
3.3,0,1,2
4.5,0,1,2
4.9,1,1,2
15.2,0,1,3
21.3163461538462,0,1,3
25,1,1,3
19.5,0,1,3
23.2177777777778,0,1,3
25.758,0,1,3
14.1,0,1,3
26.9679245283019,1,1,3
17.8,0,1,3
25.1,1,1,3
24.427358490566,1,1,3
22.5157407407407,1,1,3
12.8,0,1,3
15.9,0,1,3
23.0192307692308,0,1,3
27,1,1,3
25.5557692307692,1,1,3
23,0,1,3
23.8,0,1,3
25.2,0,1,3
28.0611111111111,0,1,3
13.6,0,1,3
30,0,1,3
8.6,0,1,3
12.3423076923077,0,1,3
15.3,0,1,3
30.0759259259259,0,1,3
13.9972222222222,0,1,3
16.1,0,1,3
17.5,0,1,3
30,1,1,3
30.0788461538462,0,1,3
17.8,0,1,3
18.7,0,1,3
30.0809090909091,1,1,3
30,0,1,3
19,1,1,3
15.9,0,1,3
16.9,0,1,3
17.7,0,1,3
12.5,0,1,4
15.5,1,1,4
10.9,0,1,4
14.1,0,1,4
16.6,1,1,4
13.3,0,1,4
14.9,1,1,4
12.9,0,1,4
14.6,0,1,4
15.75,1,1,4
15.25,0,1,4
16.7,1,1,4
16.1716981132075,0,1,4
10.1,0,1,4
17.9,1,1,4
17.2935185185185,1,1,4
16.25,0,1,4
18.7,1,1,4
18,1,1,4
13.8,0,1,4
15.65,0,1,4
17.3,1,1,4
15.9076923076923,1,1,4
14.7,0,1,4
16.55,0,1,4
17.3,1,1,4
17.1,1,1,4
14.9,0,1,4
15.1364583333333,0,1,4
16.681,1,1,4
15.4,0,1,4
15.55,0,1,4
16.5490909090909,0,1,4
17.05,1,1,4
15.5,0,1,4
15.742,0,1,4
15.8,0,1,4
15.95,0,1,4
16.05,0,1,4
7.7,1,2,1
4.7,1,2,1
2.989,1,2,1
6.5,1,2,1
1.75,1,2,1
2.417,1,2,1
1,0,2,1
3.1,1,2,1
1.1,0,2,1
1.90480769230769,1,2,1
1.05,0,2,1
1.5,1,2,1
1,0,2,1
1.60865384615385,1,2,1
1,0,2,1
1.6,1,2,1
1.64716981132076,1,2,1
1.05,1,2,1
1,1,2,1
0.600000000000001,0,2,1
1.2,0,2,1
1,0,2,1
1,0,2,1
1.05,0,2,1
1,1,2,1
1,1,2,1
0.5,0,2,1
1.35865384615385,1,2,1
1.32211538461539,1,2,1
1.35,1,2,1
5.89375,1,2,2
3.6,1,2,2
6.91862745098039,1,2,2
2.1,0,2,2
4.6,1,2,2
2.7,1,2,2
1.5,0,2,2
3.3,1,2,2
1.8,0,2,2
2.6,1,2,2
1.8,0,2,2
2.4,1,2,2
1.9,0,2,2
2.4,1,2,2
2.4,1,2,2
1.9,1,2,2
1.5,1,2,2
0.899999999999999,1,2,2
7.3,1,2,2
5.6,1,2,2
0.199999999999999,0,2,2
0.5,0,2,2
0.800000000000001,1,2,2
4.4,1,2,2
0.0755102040816337,0,2,2
0.100000000000001,1,2,2
4.6,1,2,2
0,0,2,2
0.100000000000001,1,2,2
4.5,1,2,2
15.1938775510204,1,2,3
9,0,2,3
12.8,0,2,3
18.2,1,2,3
16.5,0,2,3
0.199999999999999,0,2,3
23.2,1,2,3
21.4,1,2,3
15.4,1,2,3
11.343,0,2,3
13.9625,1,2,3
10.5040816326531,0,2,3
14.2,1,2,3
13.3433962264151,1,2,3
12.414,0,2,3
13.5,1,2,3
12.595,1,2,3
10.9,1,2,3
5.3,0,2,3
7.2,0,2,3
8.7,0,2,3
14.6,1,2,3
11.5,1,2,3
8.6,1,2,3
3.6,0,2,3
5.3,0,2,3
6.7,1,2,3
0.399999999999999,0,2,3
2.49818181818182,0,2,3
4.2,0,2,3
16.5,1,2,3
6.7,0,2,3
7.7,0,2,3
8.6,1,2,3
15.6,1,2,3
6.2,0,2,3
14.6,1,2,3
7.3,0,2,3
14,1,2,3
8.3,1,2,3
12.5,1,2,4
9.4421568627451,1,2,4
7.74607843137255,1,2,4
11.3,1,2,4
6.5,1,2,4
7.2,1,2,4
5.8,0,2,4
7.9,1,2,4
5.9,1,2,4
7,1,2,4
5.5,0,2,4
5.4,1,2,4
7.6,1,2,4
5.1,1,2,4
7.92115384615385,1,2,4
6.949,1,2,4
6.3,0,2,4
8.22019230769231,1,2,4
7.4,1,2,4
4.9,0,2,4
4.9,0,2,4
5.1,0,2,4
5.7,1,2,4
4.9,0,2,4
6,1,2,4
4.9,0,2,4
5.9,0,2,4
4.9,1,2,4
4.9,0,2,4
4.9,0,2,4
6.5,1,2,4
4.9,0,2,4
6.3,1,2,4
4.9,0,2,4
6.2,1,2,4
6.1,0,2,4
5,0,2,4
5.1,0,2,4
6.4,1,2,4
5.3,0,2,4
7.7,1,3,1
4.6,1,3,1
2.9,1,3,1
6.490625,1,3,1
1.7,1,3,1
2.45,1,3,1
1,1,3,1
1.3,1,3,1
0.600000000000001,1,3,1
0.699999999999999,1,3,1
0.699999999999999,1,3,1
0.399999999999999,0,3,1
0.899999999999999,1,3,1
0.199999999999999,0,3,1
0.100000000000001,0,3,1
0.699999999999999,1,3,1
0.141818181818182,0,3,1
0.699999999999999,1,3,1
0.100000000000001,0,3,1
0.699999999999999,1,3,1
0.100000000000001,0,3,1
0.699999999999999,1,3,1
0.100000000000001,0,3,1
0.699999999999999,1,3,1
0.100000000000001,0,3,1
0.699999999999999,1,3,1
0.100000000000001,0,3,1
0.699999999999999,1,3,1
0.100000000000001,0,3,1
0.699999999999999,1,3,1
5.9,1,3,2
7.6,1,3,2
4.9,1,3,2
6.6,1,3,2
4.2,0,3,2
5.4,0,3,2
9.8,1,3,2
8.38137254901961,1,3,2
3.3,1,3,2
12,1,3,2
10.9,1,3,2
1.8,0,3,2
2.5,0,3,2
4.6,0,3,2
4.2,1,3,2
1.5,0,3,2
6.917,1,3,2
2.9,0,3,2
5.2,0,3,2
6.7,1,3,2
4.7,0,3,2
4.8,1,3,2
3.3,0,3,2
6.4,1,3,2
3.9,0,3,2
4.2,1,3,2
6.3,1,3,2
3.4,0,3,2
15.1294117647059,0,3,3
21.3,1,3,3
17.5754716981132,1,3,3
12.1,0,3,3
13.8141509433962,0,3,3
18.271,1,3,3
16.3387755102041,1,3,3
14.9,0,3,3
15.7,0,3,3
16.5018867924528,0,3,3
18.971,0,3,3
2.8,0,3,3
24.2,1,3,3
22.6,0,3,3
0.199999999999999,0,3,3
1.24509803921569,0,3,3
28.2,1,3,3
25.8,0,3,3
0.199999999999999,0,3,3
2.7,0,3,3
0.100000000000001,0,3,3
1.1,0,3,3
4.7,0,3,3
3.34807692307692,0,3,3
6,0,3,3
8.1,0,3,3
8.2,0,3,3
9.7,0,3,3
10.9,0,3,3
11.9,0,3,3
12.8,0,3,3
13,0,3,3
13.7,0,3,3
14.422641509434,0,3,3
15.0192307692308,0,3,3
15.508,0,3,3
12.5,1,3,4
9.5,0,3,4
14.1,1,3,4
10.9,0,3,4
15,1,3,4
10.3,0,3,4
11.8,1,3,4
9.97788461538461,0,3,4
11.6,1,3,4
11.1875,0,3,4
12.1,0,3,4
14.8,1,3,4
13.5,0,3,4
4.9,0,3,4
4.9,0,3,4
4.9,0,3,4
4.9,0,3,4
17,1,3,4
16.2,1,3,4
15.6,1,3,4
14.9,1,3,4
12.9,1,3,4
12.5,0,3,4
15.1,1,3,4
14.3,0,3,4
16.8,1,3,4
16.1,1,3,4
9.60104166666667,0,3,4
14.9,0,3,4
17,1,3,4
16.4,1,3,4
9.8,0,3,4
15.4,0,3,4
17.2,1,3,4
16.7,1,3,4
9.87352941176471,0,3,4
15.9,0,3,4
17.5,1,3,4
17,1,3,4
7.7,1,4,1
4.7,1,4,1
2.93365384615385,1,4,1
6.5,1,4,1
2.5,1,4,1
1.05,1,4,1
1.33148148148148,1,4,1
0.600000000000001,1,4,1
0.699999999999999,1,4,1
0.699999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,0,4,1
0.800000000000001,1,4,1
0.300000000000001,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,1,4,1
0.399999999999999,0,4,1
5.83913043478261,1,4,2
3.6,1,4,2
6.9,1,4,2
2.1,0,4,2
4.6,1,4,2
2.7,0,4,2
5.1,1,4,2
3.1,1,4,2
2,0,4,2
3.5,1,4,2
2.5,0,4,2
3.5,1,4,2
2.7,1,4,2
2.1,1,4,2
6.3,1,4,2
1.2,0,4,2
1.5,0,4,2
1.89489795918367,0,4,2
2.3,1,4,2
1.3,0,4,2
3.6,1,4,2
1.8,0,4,2
3.1,0,4,2
3.7,1,4,2
2.1,0,4,2
2.6,0,4,2
2.6,1,4,2
3.6,1,4,2
2.09555555555556,0,4,2
15.2,0,4,3
21.3,0,4,3
25.018,0,4,3
26.9519230769231,0,4,3
28.1663461538462,1,4,3
21.2,0,4,3
26.2411764705882,0,4,3
28.2598214285714,0,4,3
23.5207547169811,0,4,3
28.8,0,4,3
29.3,1,4,3
25.2204081632653,0,4,3
28.649,1,4,3
26.2518867924528,0,4,3
29.4,0,4,3
25.0336734693878,0,4,3
24.2081632653061,0,4,3
25.8,0,4,3
26.6362745098039,0,4,3
27.3561224489796,0,4,3
29.8,0,4,3
27.5,0,4,3
27.9521739130435,0,4,3
28.5614583333333,0,4,3
28.8,0,4,3
29.1,0,4,3
29.2557692307692,0,4,3
29.4,1,4,3
28.3,0,4,3
28.5408163265306,0,4,3
28.6,0,4,3
28.7591836734694,1,4,3
28.1,0,4,3
28.2,0,4,3
28.3382352941177,0,4,3
28.4,0,4,3
28.5,0,4,3
28.6461538461539,0,4,3
12.5,0,4,4
15.5,0,4,4
17.2,0,4,4
13.7,0,4,4
18.4,1,4,4
16.3,0,4,4
17.95,0,4,4
18.9,1,4,4
17.3,0,4,4
18.75,0,4,4
15.6,0,4,4
19.25,1,4,4
19.1509433962264,1,4,4
18.2,0,4,4
19.15,1,4,4
18.3,0,4,4
18.7367924528302,0,4,4
19.2424528301887,0,4,4
19.8,1,4,4
19.6,0,4,4
16.6,0,4,4
20,0,4,4
15.4,0,4,4
16.6,0,4,4
17.2,0,4,4
20,0,4,4
17.0594339622642,0,4,4
17.44,0,4,4
17.6,0,4,4
20.1,1,4,4
20,0,4,4
17.7,1,4,4
16.8,0,4,4
17.1,0,4,4
17.45,0,4,4
17.5,0,4,4
20.05,1,4,4
20,0,4,4
17.6,0,4,4
17.7,0,4,4
4.7,1,5,1
3,1,5,1
6.5,1,5,1
1.7,0,5,1
3.9,1,5,1
2.25,1,5,1
1.2,1,5,1
7,1,5,1
4.8,1,5,1
1.25,1,5,1
1.3,1,5,1
0.800000000000001,1,5,1
1.1,1,5,1
0.600000000000001,1,5,1
0.800000000000001,1,5,1
0.699999999999999,1,5,1
0.399999999999999,0,5,1
0.800000000000001,1,5,1
0.100000000000001,0,5,1
0.100000000000001,0,5,1
0.100000000000001,0,5,1
0.699999999999999,1,5,1
0.100000000000001,0,5,1
0.699999999999999,0,5,1
0.699999999999999,1,5,1
0.699999999999999,1,5,1
0.100000000000001,0,5,1
0.699999999999999,1,5,1
5.9,1,5,2
7.65408163265306,1,5,2
2.9,0,5,2
4.9,1,5,2
6.62448979591837,1,5,2
4.2,0,5,2
5.4,1,5,2
4,1,5,2
2.4,0,5,2
2.8,0,5,2
4.5,1,5,2
3.6,1,5,2
2.3,0,5,2
2.8,0,5,2
4,1,5,2
3.9,1,5,2
3.3,0,5,2
4,1,5,2
3.9,1,5,2
3.4,1,5,2
3,0,5,2
3.7,1,5,2
3.6,1,5,2
3.1,1,5,2
2.8,0,5,2
2.9,0,5,2
3.6,1,5,2
3.3,0,5,2
3.1,0,5,2
15.1925925925926,0,5,3
21.3,0,5,3
25,0,5,3
26.9153846153846,0,5,3
28.1,0,5,3
28.7234693877551,0,5,3
29.3230769230769,0,5,3
27.7240384615385,0,5,3
29.9,1,5,3
29.2156862745098,0,5,3
30,0,5,3
28.4,0,5,3
29.816,0,5,3
28.209,1,5,3
20.8,1,5,3
0.199999999999999,0,5,3
0.15,0,5,3
1.246875,0,5,3
10.7,1,5,3
0.167307692307692,0,5,3
0,0,5,3
0,0,5,3
0,0,5,3
6.1,0,5,3
23.7,1,5,3
0.199999999999999,0,5,3
0.100000000000001,0,5,3
4.6,0,5,3
10.4,0,5,3
15.077,1,5,3
0.100000000000001,0,5,3
2.9,0,5,3
6.4,0,5,3
9.2,0,5,3
11.6,1,5,3
1.8,0,5,3
4.4,0,5,3
6.5,0,5,3
8.2,0,5,3
12.5,1,5,4
9.46538461538461,0,5,4
14.1,1,5,4
10.9,1,5,4
8.47115384615384,1,5,4
20,1,5,4
17.7,1,5,4
7.68018867924529,0,5,4
9.07941176470588,0,5,4
14.6,1,5,4
9.06792452830189,0,5,4
10.1990196078431,0,5,4
11.4,0,5,4
15.6,1,5,4
9.27608695652174,0,5,4
11.4924528301887,1,5,4
9.6,0,5,4
11.1,0,5,4
12.4,0,5,4
15.1,1,5,4
13.7,1,5,4
9.984,0,5,4
12.1,1,5,4
12.2,0,5,4
13.8,1,5,4
10.285,0,5,4
13.1,1,5,4
11,0,5,4
11.8,0,5,4
11.5,0,5,4
13,0,5,4
13.7,1,5,4
11.4,0,5,4
13.3,0,5,4
14.2,1,5,4
13.9,1,5,4
11.6,0,5,4
11.9,0,5,4
12.6,0,5,4
12.392,1,5,4
7.7,1,6,1
4.7,1,6,1
2.99508196721311,1,6,1
6.5,1,6,1
1.7,0,6,1
3.85,1,6,1
2.2,1,6,1
1.2,1,6,1
7,1,6,1
4.8,1,6,1
1.2,1,6,1
1.35,1,6,1
0.800000000000001,1,6,1
1.1,1,6,1
0.600000000000001,1,6,1
0.800000000000001,1,6,1
0.699999999999999,1,6,1
0.399999999999999,0,6,1
0.800000000000001,1,6,1
0.100000000000001,0,6,1
0.100000000000001,0,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
0.699999999999999,1,6,1
0.100000000000001,0,6,1
5.8,1,6,2
3.6,0,6,2
7.6,1,6,2
2.9,0,6,2
4.9,1,6,2
6.6,1,6,2
4.2,0,6,2
5.4,1,6,2
4.7,1,6,2
3.88660714285714,1,6,2
2.6,0,6,2
3,0,6,2
4.5,0,6,2
5.6,1,6,2
4.1,0,6,2
4.3,0,6,2
5,1,6,2
4.3,1,6,2
3.8,0,6,2
4.9,0,6,2
5.6,1,6,2
5.3,1,6,2
4.1,0,6,2
4.5,1,6,2
5,0,6,2
5.6,1,6,2
3.8,0,6,2
5.2,1,6,2
4.1,1,6,2
15.2,0,6,3
21.3,0,6,3
25,1,6,3
19.5,1,6,3
0.199999999999999,0,6,3
8.4,0,6,3
19.8,0,6,3
9.5,0,6,3
23.1,1,6,3
20.7,1,6,3
11.4327272727273,0,6,3
17.1,0,6,3
24.203,1,6,3
18.8,1,6,3
14.8,0,6,3
19,1,6,3
19.1,1,6,3
17.7,0,6,3
19.2,1,6,3
18.3,1,6,3
17.4,0,6,3
18.4,0,6,3
19.5,0,6,3
23.6,1,6,3
22.3,1,6,3
16.1,1,6,3
12.4,0,6,3
13.7362745098039,0,6,3
22.5,1,6,3
15.5,0,6,3
16.1,1,6,3
13.7432692307692,0,6,3
22.1,1,6,3
15,0,6,3
21.1,1,6,3
15.8,1,6,3
14.1701923076923,1,6,3
12.1009433962264,0,6,3
12.8,1,6,3
10.1,0,6,3
12.4990384615385,1,6,4
9.44727272727273,0,6,4
14.1,1,6,4
10.9,0,6,4
15,1,6,4
10.2418367346939,0,6,4
11.8,1,6,4
10,0,6,4
11.5824074074074,1,6,4
11.1888888888889,1,6,4
10.398,0,6,4
10.9,0,6,4
11.5,0,6,4
12.3,0,6,4
15.6,1,6,4
14.5,0,6,4
4.9,0,6,4
20.3927083333333,1,6,4
17.8,1,6,4
15.9,1,6,4
13.5,1,6,4
13,0,6,4
16.9,1,6,4
8.69814814814815,0,6,4
14.5,0,6,4
17.85,1,6,4
16.8,1,6,4
9.18,0,6,4
15.2,0,6,4
17.6,1,6,4
16.8,1,6,4
9.551,0,6,4
15.7,0,6,4
17.5,1,6,4
9.58018867924528,0,6,4
16.6,1,6,4
16.1,0,6,4
17.6,1,6,4
9.97232142857143,0,6,4
16.8,1,6,4
7.7,1,7,1
4.7,1,7,1
6.5,1,7,1
1.7,1,7,1
1.05,0,7,1
3.1,1,7,1
1.15,0,7,1
1.9875,1,7,1
1,0,7,1
1.5,1,7,1
1.01734693877551,1,7,1
0.5,0,7,1
0.600000000000001,0,7,1
1.6,1,7,1
1.24636363636364,1,7,1
0.600000000000001,0,7,1
1.309,1,7,1
1.36979166666667,1,7,1
1.34910714285714,1,7,1
0.600000000000001,1,7,1
0.600000000000001,0,7,1
0.600000000000001,1,7,1
0.300000000000001,1,7,1
0.100000000000001,0,7,1
0.100000000000001,0,7,1
0.100000000000001,0,7,1
0.199999999999999,0,7,1
0.300000000000001,0,7,1
5.9,0,7,2
8.35,1,7,2
4.3,0,7,2
7.2,1,7,2
7.92659574468085,1,7,2
6.3,1,7,2
5.2,0,7,2
6.8,0,7,2
2.6,0,7,2
8.73173076923077,1,7,2
6.5,0,7,2
8.325,1,7,2
6.6,0,7,2
7.53725490196078,1,7,2
6.60816326530612,1,7,2
6.007,0,7,2
7.15,0,7,2
7.8,0,7,2
9.38877551020408,1,7,2
8.75,1,7,2
8.33679245283019,0,7,2
0.100000000000001,0,7,2
12,1,7,2
11.7,1,7,2
10.6,1,7,2
9.87211538461538,1,7,2
9.38367346938776,1,7,2
15.1980392156863,1,7,3
9,1,7,3
5.3,0,7,3
10.8094339622642,0,7,3
0,0,7,3
0,0,7,3
0,0,7,3
0,0,7,3
17.1,1,7,3
18,1,7,3
17.9,1,7,3
10.6,0,7,3
13.3460784313726,0,7,3
19.2,1,7,3
12.7943396226415,0,7,3
14.6,1,7,3
12.5367346938776,0,7,3
13.9943396226415,0,7,3
15.6,0,7,3
19.9,1,7,3
19.3,1,7,3
18.4,1,7,3
14.788679245283,0,7,3
16.4,0,7,3
20.2,1,7,3
19.5,1,7,3
16.2,0,7,3
16.2,1,7,3
12.9,0,7,3
13.4355769230769,0,7,3
15.6,1,7,3
13.2342592592593,0,7,3
17.4,0,7,3
19.9,1,7,3
19.1,1,7,3
13.4551020408163,0,7,3
17.7,1,7,3
14.5981132075472,1,7,3
13.1509433962264,0,7,3
12.5,0,7,4
15.5,1,7,4
10.9,0,7,4
14.1,0,7,4
16.5,1,7,4
13.3,1,7,4
4.9,0,7,4
6.43301886792453,0,7,4
9.44903846153846,0,7,4
14,0,7,4
16.6,1,7,4
14.6,0,7,4
16.2,1,7,4
14.3,0,7,4
15.1,1,7,4
14.2,1,7,4
12.2,0,7,4
16.2,0,7,4
19.45,1,7,4
18.4933962264151,1,7,4
11.9,0,7,4
16.7,1,7,4
13.4,1,7,4
11.1622807017544,1,7,4
6.91666666666667,0,7,4
8.57777777777778,0,7,4
18.4,1,7,4
10.8,0,7,4
11.4,0,7,4
16.85,1,7,4
12.6,0,7,4
15.9,1,7,4
13,0,7,4
13.3,0,7,4
15.5,0,7,4
16.5,0,7,4
17.5557692307692,1,7,4
17.3230769230769,1,7,4
13,1,7,4
7.7,1,8,1
4.7,1,8,1
2.95865384615385,1,8,1
6.5,1,8,1
1.75,1,8,1
2.44607843137255,0,8,1
13.0887755102041,1,8,1
10,1,8,1
7.1,1,8,1
1.85,0,8,1
5.4,1,8,1
1.45,0,8,1
3.4,1,8,1
2.15566037735849,0,8,1
2.1,1,8,1
0.699999999999999,0,8,1
0.949999999999999,0,8,1
3.25,1,8,1
2.51960784313726,1,8,1
1.3,0,8,1
2.85,1,8,1
1.65,1,8,1
1,0,8,1
1.134,0,8,1
2.4,1,8,1
2.3,1,8,1
1.372,1,8,1
0.899999999999999,1,8,1
0.300000000000001,0,8,1
0.5,0,8,1
8.4,1,8,2
4.35,0,8,2
7.25,1,8,2
3.4,0,8,2
7.94166666666667,1,8,2
6.31944444444444,0,8,2
7.75,1,8,2
6.6,1,8,2
5.6,0,8,2
6.8,1,8,2
6,0,8,2
6.51018518518518,1,8,2
6,0,8,2
6.53921568627451,1,8,2
6,1,8,2
5.6,0,8,2
5.8,1,8,2
5.1,0,8,2
5.4,0,8,2
6.63636363636364,1,8,2
5.7,1,8,2
5.2,0,8,2
5.4,0,8,2
6.5287037037037,1,8,2
5.6,1,8,2
5.2,0,8,2
6.51470588235294,1,8,2
5.41057692307692,0,8,2
6.303,1,8,2
15.2,0,8,3
21.3,0,8,3
25.0387755102041,0,8,3
26.9216981132075,0,8,3
28.1345454545455,0,8,3
28.7688888888889,0,8,3
29.389,0,8,3
27.728,0,8,3
29.9644230769231,0,8,3
29.777,0,8,3
29.7961538461539,0,8,3
29.7591836734694,0,8,3
29.7663461538462,0,8,3
29.7418181818182,1,8,3
29.4527272727273,1,8,3
26.02,0,8,3
27.7442307692308,1,8,3
17.9,0,8,3
21,0,8,3
24.5,0,8,3
27.116,1,8,3
16.8,1,8,3
0.199999999999999,0,8,3
0.100000000000001,0,8,3
3.4,0,8,3
11.615,0,8,3
19.2,0,8,3
22.316,0,8,3
23.8,0,8,3
24.9538461538462,0,8,3
25.871568627451,0,8,3
26.6054545454546,0,8,3
27.527358490566,0,8,3
28.2147058823529,0,8,3
28.5892156862745,0,8,3
28.7259615384615,0,8,3
28.941,0,8,3
29.0269230769231,0,8,3
29.2283018867924,0,8,3
29.428125,0,8,3
12.5,0,8,4
15.5,0,8,4
17.2258928571429,1,8,4
10.8,0,8,4
14.5,0,8,4
16.65,0,8,4
18,1,8,4
15.9,1,8,4
9.1,0,8,4
11.3,0,8,4
18.3,1,8,4
16.3,1,8,4
14.7,0,8,4
16.3,1,8,4
15.1,0,8,4
16.25,0,8,4
17.4,1,8,4
17,1,8,4
15.5,0,8,4
16.3,0,8,4
17.1,1,8,4
15.7,0,8,4
16.8,1,8,4
15.9,0,8,4
16.75,1,8,4
16,0,8,4
16.05,0,8,4
16.7,0,8,4
16.95,0,8,4
17.35,1,8,4
17.2,1,8,4
16.1,0,8,4
16.25,0,8,4
16.35,0,8,4
17.1,0,8,4
17.3,1,8,4
17.3,1,8,4
16.2,0,8,4
17.15,1,8,4
16.3,0,8,4
7.7,1,9,1
4.7,1,9,1
3,1,9,1
6.5,1,9,1
1.7,1,9,1
2.43090909090909,1,9,1
1,1,9,1
1.3,1,9,1
0.600000000000001,1,9,1
0.699999999999999,1,9,1
0.699999999999999,1,9,1
0.399999999999999,0,9,1
0.899999999999999,1,9,1
0.199999999999999,0,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,1,9,1
0.100000000000001,0,9,1
0.100000000000001,0,9,1
0.100000000000001,0,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
0.100000000000001,0,9,1
0.699999999999999,1,9,1
5.9,1,9,2
3.6,0,9,2
7.6,1,9,2
2.9,0,9,2
4.9,1,9,2
6.6,1,9,2
4.2,1,9,2
2.8,1,9,2
10.7759615384615,1,9,2
8.69,1,9,2
2,0,9,2
2.2,1,9,2
8.85652173913043,1,9,2
0.699999999999999,1,9,2
10.8625,1,9,2
8.65102040816327,1,9,2
6.8,1,9,2
0.899999999999999,0,9,2
0.25,0,9,2
1.1,0,9,2
1.3,0,9,2
2.9,0,9,2
2.3,0,9,2
3.3,0,9,2
3.2,0,9,2
3.3,0,9,2
3.3,0,9,2
4.4,1,9,2
3.4,1,9,2
2.9,0,9,2
15.2,0,9,3
21.3,0,9,3
25,0,9,3
26.9117647058823,0,9,3
28.1,0,9,3
28.7,0,9,3
29.3,0,9,3
27.7,1,9,3
12.6076923076923,0,9,3
17.1,0,9,3
21.7,0,9,3
26,0,9,3
29,1,9,3
24.1,1,9,3
8.6,0,9,3
13.0566037735849,0,9,3
17.9,0,9,3
22.1,0,9,3
24.8,0,9,3
26,0,9,3
26.6,0,9,3
24.4,0,9,3
25.2,1,9,3
21.4,0,9,3
22.6,0,9,3
23.5,0,9,3
24.2,0,9,3
24.1,0,9,3
24.6,0,9,3
25,0,9,3
25.4,0,9,3
25.8017857142857,1,9,3
24.1598039215686,0,9,3
24.5,0,9,3
24.6,0,9,3
24.9,0,9,3
25.1,0,9,3
12.5,0,9,4
15.5,0,9,4
17.2,1,9,4
10.786,0,9,4
14.5,0,9,4
16.6,0,9,4
17.9,1,9,4
15.9,0,9,4
17.6,0,9,4
12.9,0,9,4
18.5,1,9,4
18.4,1,9,4
17.2,0,9,4
18.4,1,9,4
17.2,0,9,4
17.7,0,9,4
18.5,1,9,4
17.5,0,9,4
17.5,0,9,4
18.2,0,9,4
18.7,1,9,4
18.6,0,9,4
19.1,1,9,4
19,1,9,4
18.8,1,9,4
17.6,0,9,4
17.7,0,9,4
17.9,0,9,4
